,Id,UserId,UserClass,term,grade,gender,majorClass,totalLearningTime,TimeClassNumber,LocationClassNumber,isPassExam
354,355,210625,F,201601,2015,female,science,8715,1,2,YES
355,356,210627,D,201601,2015,female,science,51550,5,3,YES
356,357,210628,B,201601,2015,female,science,119381,6,2,YES
357,358,210629,C,201701,2016,female,science,128803,4,2,YES
358,359,210630,A,201601,2014,female,science,128338,6,3,YES
359,360,210631,C,201601,2015,female,science,55072,4,2,NO
360,361,210632,A,201601,2015,female,science,135824,6,3,YES
361,362,210633,D,201601,2015,female,science,113980,3,4,YES
362,363,210634,B,201601,2015,female,science,71846,6,2,YES
363,364,210636,A,201701,2016,female,science,60410,6,3,NO
364,365,210637,C,201701,2016,female,science,39639,5,2,YES
365,366,210639,D,201702,2017,female,science,,5,2,NO
366,367,210640,C,201601,2015,female,science,81277,3,2,YES
367,368,210641,A,201601,2015,male,science,129671,6,5,YES
368,369,210642,A,201601,2015,female,science,344020,6,2,YES
369,370,210644,C,201601,2015,female,science,203569,3,2,YES
370,371,210645,B,201701,2016,female,science,138237,6,2,YES
371,372,210646,E,201702,2017,female,science,65710,3,1,YES
372,373,210647,A,201601,2015,female,science,117988,6,2,YES
373,374,210649,C,201701,2015,female,science,67366,4,2,YES
374,375,210650,A,201602,2016,female,science,107923,6,5,YES
375,376,210652,D,201701,2016,female,science,134777,5,2,YES
376,377,210653,A,201701,2016,male,science,74658,6,8,NO
377,378,210654,A,201701,2016,male,science,123151,5,2,YES
378,379,210655,B,201601,2014,female,science,109966,6,2,YES
379,380,210656,A,201601,2015,male,science,161919,6,3,YES
380,381,210657,D,201601,2015,male,science,121984,4,4,YES
381,382,210658,E,201601,2015,male,science,1935,3,1,YES
382,383,210659,C,201601,2015,female,science,58094,4,3,YES
383,384,210660,A,201701,2016,female,science,157639,6,3,YES
384,385,210661,A,201701,2016,male,science,151672,6,10,YES
385,386,210663,A,201601,2014,female,science,128945,5,2,YES
386,387,210664,A,201601,2015,female,science,80015,6,6,YES
387,388,210665,A,201502,2015,male,science,85142,5,4,NO
388,389,210666,A,201601,2016,female,science,85953,6,3,YES
389,390,210668,A,201601,2015,female,literature,81159,6,2,YES
390,391,210669,F,201602,2016,male,science,6,1,2,NO
391,392,210670,A,201701,2016,female,science,113752,6,2,YES
392,393,210671,C,201701,2016,female,science,89085,4,2,YES
393,394,210673,B,201701,2016,female,science,121892,6,2,YES
394,395,210674,A,201701,2015,male,science,161150,5,3,YES
395,396,210675,A,201601,2015,female,science,180715,6,3,YES
396,397,210676,A,201601,2015,female,science,146082,6,5,YES
397,398,210677,C,201602,2016,female,science,118008,4,2,YES
398,399,210678,B,201701,2016,male,science,119724,5,2,NO
399,400,210679,A,201701,2016,female,science,120784,6,2,YES
400,401,210680,A,201601,2015,female,science,89178,5,5,NO
401,402,210681,D,201601,2015,female,science,93287,5,2,YES
402,403,210682,D,201601,2015,male,science,150298,6,4,YES
403,404,210683,A,201701,2016,female,science,129182,6,2,YES
404,405,210684,D,201701,2016,female,science,120581,6,4,YES
405,406,210685,C,201701,2016,female,science,129327,4,2,YES
406,407,210686,A,201601,2015,male,science,141897,5,4,NO
407,408,210687,A,201601,2016,female,science,135971,6,2,YES
408,409,210688,C,201601,2015,female,science,109270,5,5,YES
409,410,210689,A,201601,2015,female,science,85521,5,2,YES
410,411,210690,A,201601,2015,female,science,120471,6,4,YES
411,412,210691,A,201601,2015,female,science,75220,5,4,YES
412,413,210693,C,201701,2016,female,science,103616,4,2,NO
413,414,210694,A,201702,2017,female,science,78243,5,2,YES
414,415,210695,A,201601,2014,female,science,,6,2,YES
415,416,210696,B,201601,2015,female,science,130008,4,2,YES
416,417,210697,A,201601,2015,female,science,120578,5,2,YES
417,418,210699,B,201701,2016,female,science,66165,5,4,YES
418,419,210700,A,201601,2015,female,science,120301,4,2,YES
419,420,210701,C,201601,2015,female,science,88320,5,2,YES
420,421,210702,B,201702,2017,female,science,116373,6,2,YES
421,422,210704,D,201502,2015,male,science,141541,5,4,YES
422,423,210705,A,201601,2015,female,literature,141064,6,2,YES
423,424,210706,A,201601,2015,female,science,115272,6,2,NO
424,425,210707,A,201602,2016,female,science,90346,6,2,YES
425,426,210708,A,201701,2016,female,science,80193,4,4,YES
426,427,210709,D,201601,2015,male,science,96192,3,4,YES
427,428,210710,A,201701,2016,female,science,91630,6,2,YES
428,429,210711,B,201701,2015,female,science,147310,6,2,YES
429,430,210712,D,201701,2015,female,science,130993,4,2,YES
430,431,210714,A,201701,2015,female,science,133306,5,3,NO
431,432,210715,A,201602,2016,female,science,154638,6,2,YES
432,433,210716,D,201701,2016,female,science,105535,6,2,YES
433,434,210717,D,201601,2014,male,science,17501,3,3,YES
434,435,210718,A,201601,2015,female,science,78628,6,2,YES
435,436,210719,B,201601,2015,female,science,117554,5,2,YES
436,437,210720,A,201701,2016,female,science,99834,5,2,NO
437,438,210721,A,201702,2017,male,science,84557,6,4,YES
438,439,210722,A,201601,2016,female,science,97582,6,2,YES
439,440,210724,A,201601,2015,female,science,38844,5,2,YES
440,441,210725,B,201701,2016,female,science,115965,6,2,YES
441,442,210726,D,201601,2015,male,science,51853,3,4,YES
442,443,210727,B,201601,2015,female,science,,5,2,YES
443,444,210728,A,201702,2017,female,science,90706,5,2,YES
444,445,210729,B,201601,2015,female,science,128697,5,4,YES
445,446,210731,A,201601,2015,female,science,48010,5,3,YES
446,447,210732,A,201601,2015,female,science,132965,5,5,YES
447,448,210733,C,201701,2016,female,science,123432,4,2,YES
448,449,210735,B,201601,2015,female,science,135399,4,2,YES
449,450,210736,D,201701,2016,male,science,70516,4,4,YES
450,451,210737,A,201602,2016,female,science,133430,6,3,YES
451,452,210738,C,201601,2015,female,science,68279,6,2,YES
452,453,210739,A,201601,2015,male,science,130378,4,4,YES
453,454,210740,A,201602,2016,male,science,236717,5,3,YES
454,455,210741,A,201702,2016,female,science,133788,5,2,YES
455,456,210742,A,201602,2016,female,science,72416,4,2,YES
