,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_impurity_decrease,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.004077386856079101,0.0013960762178114503,0.0007952690124511719,0.00033944726115680163,entropy,0.0,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0}",0.6125,0.61875,0.7,0.65625,0.7,0.6575000000000001,0.0377905411445774,119,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.0025343894958496094,0.0003654029931467162,0.0003513336181640625,9.086239340415718e-05,entropy,0.00020408163265306123,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00020408163265306123}",0.63125,0.6375,0.69375,0.65625,0.725,0.66875,0.03557562367689427,111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.002160310745239258,0.00025519418593430467,0.0003631114959716797,0.00011128984965683574,entropy,0.00040816326530612246,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00040816326530612246}",0.60625,0.63125,0.6875,0.65625,0.70625,0.6575,0.0363145976158349,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.0019830703735351563,0.0002944797273680445,0.0002827644348144531,4.075158709427497e-05,entropy,0.0006122448979591836,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0006122448979591836}",0.64375,0.61875,0.70625,0.65625,0.7125,0.6675,0.03631459761583488,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.0016065597534179687,0.00017907400927265785,0.00020990371704101562,2.8074574813823028e-05,entropy,0.0008163265306122449,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0008163265306122449}",0.64375,0.625,0.6875,0.66875,0.725,0.67,0.034776069358108876,108,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.0014573097229003905,0.0001973427089161238,0.00018711090087890624,3.1173409284578533e-05,entropy,0.0010204081632653062,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0010204081632653062}",0.60625,0.63125,0.71875,0.6625,0.725,0.66875,0.04693745838879648,111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.0013936996459960938,0.00011663602592308028,0.00017805099487304686,2.7464909670886232e-05,entropy,0.0012244897959183673,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0012244897959183673}",0.63125,0.625,0.7,0.65625,0.70625,0.66375,0.03386554296036017,115,0.9984375,0.99375,0.9984375,1.0,0.9953125,0.9971875000000001,0.002296396633859211
7,0.0013702869415283202,0.0001422515296451032,0.00016698837280273437,3.881466183656449e-06,entropy,0.0014285714285714286,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0014285714285714286}",0.60625,0.625,0.71875,0.6625,0.7,0.6625,0.04275657844121768,116,0.996875,0.9875,0.98125,1.0,0.9953125,0.9921875,0.006846531968814583
8,0.0013837337493896485,0.0001307703976895009,0.00017309188842773438,1.565740389920669e-05,entropy,0.0016326530612244899,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0016326530612244899}",0.625,0.625,0.7,0.65,0.7125,0.6625,0.03708099243547831,116,0.996875,0.9875,0.9828125,1.0,0.9890625,0.99125,0.006296700524878085
9,0.0013224124908447266,9.889533687339992e-05,0.00015783309936523438,5.472212811639699e-06,entropy,0.0018367346938775511,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0018367346938775511}",0.66875,0.65625,0.7375,0.65625,0.7125,0.68625,0.03292984968079875,105,0.94375,0.9734375,0.9703125,0.996875,0.9671875,0.9703124999999998,0.016915460753405442
